screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
elonmusk,2020-09-18T15:59:44Z,@TENETFilm Good movie,253,6272,TENETFilm,,,Twitter for iPhone,en,1306986272934621184
elonmusk,2020-09-18T02:13:37Z,@Erdayastronaut Current was too strong for droneship to hold station. Thrusters to be upgraded for future missions.,327,8701,Erdayastronaut,,,Twitter for iPhone,en,1306778373314826240
elonmusk,2020-09-17T18:07:46Z,@ChrisDungeon Lot has happened in 13 years,515,20002,ChrisDungeon,,,Twitter for iPhone,en,1306656105666195456
elonmusk,2020-09-17T08:04:35Z,@Teslarati It will be very insane,1056,16093,Teslarati,,,Twitter for iPhone,en,1306504307148075008
elonmusk,2020-09-17T07:15:03Z,Speedrunning Factorio in real life …,6714,114364,,,,Twitter for iPhone,en,1306491844512026624
elonmusk,2020-09-17T04:39:07Z,"@cleantechnica No, but you make some great points. Important to note that iron’s cost advantage is partly offset by increased pack mass, so the fully considered cost is closer to nickel. That said, iron alleviates much of the scaling problem.",280,5213,cleantechnica,,,Twitter for iPhone,en,1306452601299501057
elonmusk,2020-09-17T02:32:32Z,@CoderFoot @m2jr @BernieSanders Yup,78,1968,CoderFoot,,,Twitter for iPhone,,1306420746634145792
elonmusk,2020-09-16T20:18:25Z,Fallout Shelter is on your Tesla. Tap the Entertainment button.,4724,100387,,,,Twitter for iPhone,en,1306326594202431488
elonmusk,2020-09-16T20:16:09Z,@m2jr @BernieSanders Implicit conflation of consumption &amp; capital allocation is the foundational error,209,2718,m2jr,,,Twitter for iPhone,en,1306326024188125184
elonmusk,2020-09-16T19:57:03Z,@Kristennetten Great idea!,55,1895,Kristennetten,,,Twitter for iPhone,en,1306321220799836160
elonmusk,2020-09-16T19:39:43Z,"🖤 Fallout Radio  🖤
https://t.co/gNo8XFjx8b",642,10532,elonmusk,,,Twitter for iPhone,en,1306316854793699328
elonmusk,2020-09-16T19:25:52Z,@TJLK There are some eerie parallels between The Boring Company &amp; Vault-Tec. We also built our first demonstration tunnel/vault in LA.,114,1914,TJLK,,,Twitter for iPhone,en,1306313372116291584
elonmusk,2020-09-16T19:19:13Z,Doubles as an underground nuclear shelter 😀👍 https://t.co/CvI0YRjObE,2470,37361,elonmusk,,,Twitter for iPhone,en,1306311698811297797
elonmusk,2020-09-16T08:08:15Z,@flcnhvy @lexfridman Yeah,31,1264,flcnhvy,,,Twitter for iPhone,en,1306142845049303042
elonmusk,2020-09-16T07:59:55Z,@tesladri @ID_AA_Carmack @lexfridman Should be happening soon,31,990,tesladri,,,Twitter for iPhone,en,1306140747066826753
elonmusk,2020-09-16T07:54:48Z,"@ID_AA_Carmack @lexfridman A bit more obscure, but Starhammer &amp; Stainless Steel Rat",27,541,ID_AA_Carmack,,,Twitter for iPhone,en,1306139460577320960
elonmusk,2020-09-16T07:26:57Z,"@engineers_feed At first, I thought that was a parrot",1060,47799,engineers_feed,,,Twitter for iPhone,en,1306132452012822529
elonmusk,2020-09-16T07:23:20Z,@JohnnaCrider1 @jhall They remind me of these guys https://t.co/Qt502U08np,218,3440,JohnnaCrider1,,,Twitter for iPhone,en,1306131538694684672
elonmusk,2020-09-15T21:13:39Z,Story of my life,1663,68947,elonmusk,,,Twitter for iPhone,en,1305978108240068613
elonmusk,2020-09-15T21:12:54Z,https://t.co/Vn0Rv0yQ5q,17444,225189,,,,Twitter for iPhone,,1305977917843873799
elonmusk,2020-09-15T20:29:38Z,"Tunnels under cities with self-driving electric cars will feel like warp drive

First operational tunnel under Vegas almost done

The @BoringCompany",7121,81520,,,,Twitter for iPhone,en,1305967030701613059
elonmusk,2020-09-15T20:18:28Z,@jackfarrington For sure,44,2461,jackfarrington,,,Twitter for iPhone,en,1305964219066658816
elonmusk,2020-09-15T20:17:34Z,@jackfarrington @Tesla Good point,18,969,jackfarrington,,,Twitter for iPhone,en,1305963993165697026
elonmusk,2020-09-15T20:14:00Z,Have you hugged a tunnel today?,3775,85216,,,,Twitter for iPhone,en,1305963097207734273
elonmusk,2020-09-15T20:06:51Z,@ARKInvest @aurmanARK Good analysis,72,1893,ARKInvest,,,Twitter for iPhone,en,1305961297608089601
elonmusk,2020-09-15T16:30:35Z,@PPathole Exactly,49,1589,PPathole,,,Twitter for iPhone,en,1305906872436903936
elonmusk,2020-09-15T16:12:18Z,"@flcnhvy Gary the snail is still winning, but we’re gaining on him/her",154,4020,flcnhvy,,,Twitter for iPhone,en,1305902271239270400
elonmusk,2020-09-15T16:09:45Z,Embrace tunnels!,5805,117593,,,,Twitter for iPhone,et,1305901626969010176
elonmusk,2020-09-15T16:09:18Z,"@ValaAfshar Tunnels are the solution to traffic. You can have as many levels as you want. Usable tunnel depth far exceeds tallest buildings, so would work even for New York or Beijing.",873,12396,ValaAfshar,,,Twitter for iPhone,en,1305901516239273986
elonmusk,2020-09-15T01:48:35Z,"@MatthewCable6 @ErcXspace Just a guess, but probably mid teens. Booster &amp; stacking on orbital pad are likely limiting factors. We’ll build several ships just to improve the production system.",143,2761,MatthewCable6,,,Twitter for iPhone,en,1305684908980031488
elonmusk,2020-09-15T01:42:52Z,"@ErcXspace Pretty accurate simulation, although SN8 will use 3 Raptors. If SN8 craters, SN9 &amp; SN10 are close behind. High production rate allows for fast iteration.",361,7939,ErcXspace,,,Twitter for iPhone,en,1305683470107148288
elonmusk,2020-09-15T00:42:48Z,@teslavibes Couldn’t agree more — major software improvements are already in place to extend its life &amp; more coming,325,9766,teslavibes,,,Twitter for iPhone,en,1305668355764809732
elonmusk,2020-09-14T18:13:37Z,"@cleantechnica Definitely not. Smartwatches &amp; phones are yesterday’s technology, Neuralinks are the future.",4290,58955,cleantechnica,,,Twitter for iPhone,en,1305570412349321216
elonmusk,2020-09-14T17:29:13Z,@engineers_feed Seems like they should make a whole outfit out of that material,363,12751,engineers_feed,,,Twitter for iPhone,en,1305559241458155523
